,Dis No,Start Year,Start Month,Start Day,End Year,End Month,End Day
1034,2000-0778-SOM,2000,11.0,20.0,2000,11.0,20.0
1039,2000-0490-SOM,2000,7.0,10.0,2000,7.0,10.0
1046,2000-0790-TZA,2000,12.0,1.0,2000,12.0,31.0
1164,2001-0448-ETH,2001,8.0,10.0,2001,8.0,10.0
1169,2001-0464-ETH,2001,7.0,,2001,7.0,
1170,2001-0769-ETH,2001,8.0,,2001,8.0,
1214,2002-0265-KEN,2002,4.0,26.0,2002,5.0,28.0
1252,2002-0225-ETH,2002,4.0,16.0,2002,4.0,21.0
1270,2002-0711-KEN,2002,11.0,17.0,2002,11.0,20.0
1271,2002-0689-KEN,2002,10.0,29.0,2002,11.0,4.0
1272,2002-0800-KEN,2002,12.0,21.0,2002,12.0,23.0
1370,2001-0541-RWA,2001,9.0,22.0,2001,9.0,22.0
1371,2001-0672-RWA,2001,10.0,30.0,2001,11.0,2.0
1372,2001-0417-SDN,2001,8.0,6.0,2001,9.0,13.0
1380,2001-0653-SOM,2001,11.0,1.0,2001,11.0,14.0
1391,2001-0109-TZA,2001,2.0,27.0,2001,2.0,27.0
1442,2002-0273-RWA,2002,4.0,26.0,2002,5.0,28.0
1503,2002-0515-SDN,2002,8.0,3.0,2002,8.0,3.0
1509,2002-0715-SOM,2002,11.0,8.0,2002,11.0,21.0
1519,2002-0274-TZA,2002,4.0,26.0,2002,5.0,28.0
1613,2003-0204-KEN,2003,4.0,,2003,5.0,
1644,2003-0368-ERI,2003,7.0,28.0,2003,8.0,21.0
1645,2003-0204-ETH,2003,4.0,28.0,2003,5.0,20.0
1651,2003-0729-KEN,2003,1.0,4.0,2003,1.0,6.0
1656,2004-0158-DJI,2004,4.0,12.0,2004,4.0,16.0
1658,2004-0194-KEN,2004,4.0,9.0,2004,5.0,11.0
1661,2004-0394-ERI,2004,7.0,27.0,2004,7.0,27.0
1710,2004-0152-KEN,2004,4.0,9.0,2004,4.0,12.0
1730,2003-0368-SDN,2003,7.0,28.0,2003,8.0,21.0
1771,2003-0563-RWA,2003,10.0,30.0,2003,10.0,30.0
1786,2003-0204-SOM,2003,5.0,4.0,2003,5.0,20.0
1787,2003-0447-SOM,2003,8.0,18.0,2003,8.0,20.0
1792,2003-0620-TZA,2003,12.0,20.0,2003,12.0,21.0
1902,2004-0499-SOM,2004,9.0,28.0,2004,9.0,30.0
1976,2005-0215-ETH,2005,4.0,23.0,2005,4.0,26.0
1979,2005-0485-ETH,2005,9.0,1.0,2005,9.0,1.0
2008,2005-0258-ETH,2005,5.0,20.0,2005,5.0,22.0
2009,2005-0472-ETH,2005,8.0,19.0,2005,9.0,1.0
2077,2006-0422-ETH,2006,8.0,5.0,2006,8.0,8.0
2078,2006-0204-ETH,2006,4.0,9.0,2006,4.0,25.0
2079,2006-0436-ETH,2006,8.0,9.0,2006,8.0,9.0
2080,2006-0438-ETH,2006,8.0,13.0,2006,9.0,11.0
2081,2006-0442-ETH,2006,8.0,13.0,2006,9.0,26.0
2082,2006-0489-ETH,2006,8.0,23.0,2006,8.0,23.0
2083,2006-0578-ETH,2006,10.0,27.0,2006,12.0,18.0
2111,2005-0576-SDN,2005,8.0,29.0,2005,9.0,6.0
2115,2005-0215-KEN,2005,4.0,23.0,2005,4.0,26.0
2116,2005-0260-KEN,2005,5.0,18.0,2005,5.0,24.0
2117,2005-0526-KEN,2005,6.0,17.0,2005,6.0,20.0
2165,2005-0748-SDN,2005,7.0,14.0,2005,7.0,15.0
2174,2005-0215-SOM,2005,4.0,23.0,2005,6.0,14.0
2175,2005-0309-SOM,2005,6.0,4.0,2005,6.0,5.0
2186,2005-0212-TZA,2005,4.0,16.0,2005,4.0,18.0
2207,2006-0447-SDN,2006,8.0,7.0,2006,8.0,7.0
2211,2006-0178-KEN,2006,4.0,4.0,2006,5.0,22.0
2212,2006-0234-KEN,2006,4.0,25.0,2006,5.0,4.0
2213,2006-0587-KEN,2006,10.0,15.0,2006,10.0,26.0
2214,2006-0624-KEN,2006,10.0,23.0,2006,12.0,19.0
2284,2006-0422-SDN,2006,8.0,,2006,9.0,
2285,2006-0442-SDN,2006,8.0,13.0,2006,9.0,26.0
2296,2006-0229-SOM,2006,5.0,1.0,2006,5.0,1.0
2297,2006-0422-SOM,2006,8.0,4.0,2006,8.0,9.0
2298,2006-0550-SOM,2006,8.0,24.0,2006,10.0,10.0
2299,2006-0618-SOM,2006,10.0,26.0,2006,12.0,1.0
2300,2006-0624-SOM,2006,10.0,23.0,2006,12.0,19.0
2312,2006-0255-TZA,2006,5.0,9.0,2006,5.0,17.0
2313,2006-0624-TZA,2006,10.0,23.0,2006,12.0,19.0
2362,2007-0059-RWA,2007,2.0,3.0,2007,2.0,16.0
2450,2007-0273-ETH,2007,6.0,6.0,2007,7.0,11.0
2451,2007-0304-ETH,2007,7.0,29.0,2007,10.0,5.0
2514,2008-0386-ETH,2008,8.0,20.0,2008,8.0,28.0
2515,2008-0219-ETH,2008,5.0,30.0,2008,5.0,31.0
2516,2008-0517-ETH,2008,11.0,16.0,2008,11.0,17.0
2555,2007-0613-KEN,2007,12.0,12.0,2007,12.0,15.0
2557,2007-0442-RWA,2007,9.0,12.0,2007,9.0,20.0
2559,2007-0408-KEN,2007,8.0,15.0,2007,10.0,31.0
2560,2007-0425-SOM,2007,9.0,1.0,2007,10.0,4.0
2567,2007-0177-KEN,2007,5.0,15.0,2007,6.0,11.0
2611,2007-0261-SDN,2007,7.0,3.0,2007,10.0,8.0
2622,2007-0559-SOM,2007,11.0,3.0,2007,11.0,4.0
2648,2008-0518-KEN,2008,11.0,10.0,2008,11.0,25.0
2649,2008-0485-RWA,2008,10.0,1.0,2008,10.0,6.0
2657,2008-0482-KEN,2008,10.0,14.0,2008,10.0,16.0
2658,2008-0127-KEN,2008,3.0,17.0,2008,4.0,5.0
2659,2008-0260-KEN,2008,6.0,13.0,2008,6.0,20.0
2660,2008-0483-KEN,2008,10.0,4.0,2008,10.0,7.0
2665,2008-0129-KEN,2008,3.0,20.0,2008,4.0,2.0
2721,2008-0506-SOM,2008,11.0,3.0,2008,11.0,4.0
2730,2008-0127-TZA,2008,3.0,17.0,2008,4.0,4.0
2735,2008-0066-TZA,2008,1.0,10.0,2008,3.0,31.0
2828,2008-0331-SSD,2008,8.0,,2008,8.0,
2829,2008-0520-SSD,2008,10.0,3.0,2008,10.0,6.0
2830,2008-0554-SSD,2008,11.0,24.0,2008,11.0,24.0
2908,2010-0115-ETH,2010,3.0,1.0,2010,3.0,11.0
2909,2010-0450-ETH,2010,8.0,22.0,2010,8.0,24.0
2943,2009-0494-KEN,2009,10.0,29.0,2009,11.0,4.0
2944,2009-0597-KEN,2009,12.0,24.0,2010,1.0,12.0
2946,2009-0484-TZA,2009,11.0,10.0,2009,11.0,13.0
2981,2009-0379-SDN,2009,8.0,16.0,2009,8.0,26.0
2985,2009-0532-SOM,2009,10.0,23.0,2009,10.0,30.0
2990,2009-0591-TZA,2009,12.0,25.0,2010,1.0,10.0
2998,2010-0094-KEN,2010,3.0,1.0,2010,5.0,14.0
3006,2010-0285-KEN,2010,5.0,8.0,2010,5.0,24.0
3045,2010-0319-SDN,2010,7.0,10.0,2010,7.0,15.0
3046,2010-0579-SDN,2010,7.0,1.0,2010,10.0,7.0
3055,2010-0115-SOM,2010,3.0,1.0,2010,3.0,11.0
3056,2010-0164-SOM,2010,4.0,24.0,2010,4.0,24.0
3074,2011-0183-RWA,2011,4.0,25.0,2011,5.0,5.0
3169,2010-0579-SSD,2010,7.0,1.0,2010,10.0,7.0
3170,2010-0703-SSD,2010,8.0,,2010,8.0,
3216,2011-0631-ETH,2011,11.0,7.0,2011,11.0,15.0
3292,2013-0125-ETH,2013,4.0,10.0,2013,4.0,30.0
3302,2011-0634-TZA,2011,12.0,4.0,2011,12.0,4.0
3314,2011-0423-KEN,2011,8.0,15.0,2011,9.0,8.0
3315,2011-0476-KEN,2011,11.0,4.0,2011,11.0,4.0
3316,2011-0504-KEN,2011,11.0,29.0,2011,12.0,22.0
3341,2011-0476-SOM,2011,11.0,4.0,2011,11.0,4.0
3343,2011-0535-TZA,2011,12.0,20.0,2011,12.0,22.0
3344,2011-0617-TZA,2011,4.0,9.0,2011,5.0,19.0
3358,2012-0166-KEN,2012,4.0,20.0,2012,5.0,16.0
3382,2012-0130-RWA,2012,4.0,9.0,2012,4.0,18.0
3383,2012-0280-SDN,2012,8.0,1.0,2012,8.0,12.0
3395,2012-0472-SOM,2012,11.0,21.0,2012,11.0,21.0
3396,2012-0508-SOM,2012,9.0,27.0,2012,9.0,28.0
3401,2012-0072-TZA,2012,3.0,1.0,2012,3.0,7.0
3411,2013-0123-KEN,2013,3.0,10.0,2013,4.0,30.0
3414,2013-0281-KEN,2013,8.0,5.0,2013,8.0,7.0
3415,2013-0305-KEN,2013,1.0,13.0,2013,1.0,17.0
3416,2013-0545-KEN,2013,12.0,,2013,12.0,
3455,2013-0280-SDN,2013,8.0,1.0,2013,8.0,21.0
3467,2013-0288-SOM,2013,5.0,1.0,2013,5.0,16.0
3468,2013-0473-SOM,2013,8.0,,2013,11.0,
3513,2012-0473-SSD,2012,9.0,7.0,2012,10.0,3.0
3514,2012-0476-SSD,2012,8.0,1.0,2012,8.0,29.0
3529,2013-0425-SSD,2013,10.0,23.0,2013,10.0,23.0
3530,2013-0453-SSD,2013,8.0,,2013,9.0,
3603,2015-0548-ETH,2015,11.0,,2015,11.0,
3611,2016-0101-ETH,2016,4.0,2.0,2016,4.0,7.0
3612,2016-0186-ETH,2016,5.0,9.0,2016,5.0,20.0
3675,2014-0264-SDN,2014,7.0,25.0,2014,9.0,
3682,2014-0456-SOM,2014,10.0,24.0,2014,11.0,16.0
3689,2015-0153-RWA,2015,4.0,3.0,2015,4.0,3.0
3697,2015-0158-KEN,2015,4.0,4.0,2015,4.0,10.0
3698,2015-0159-KEN,2015,4.0,27.0,2015,5.0,2.0
3699,2015-0564-KEN,2015,12.0,1.0,2016,1.0,6.0
3721,2015-0392-SDN,2015,8.0,8.0,2015,8.0,9.0
3726,2015-0477-SOM,2015,10.0,27.0,2015,10.0,27.0
3727,2015-0544-SOM,2015,3.0,,2015,4.0,
3731,2016-0149-RWA,2016,1.0,,2016,4.0,
3732,2016-0161-KEN,2016,4.0,29.0,2016,5.0,2.0
3736,2016-0089-KEN,2016,3.0,10.0,2016,3.0,10.0
3746,2016-0129-SOM,2016,4.0,6.0,2016,4.0,11.0
3754,2014-0042-TZA,2014,1.0,22.0,2014,1.0,23.0
3755,2014-0119-TZA,2014,4.0,18.0,2014,5.0,1.0
3790,2015-0205-TZA,2015,5.0,7.0,2015,5.0,21.0
3819,2016-0060-TZA,2016,2.0,10.0,2016,2.0,15.0
3820,2016-0028-TZA,2016,1.0,17.0,2016,1.0,18.0
3821,2016-0244-TZA,2016,4.0,22.0,2016,4.0,24.0
3940,2017-0205-KEN,2017,5.0,8.0,2017,5.0,16.0
3983,2018-0104-RWA,2018,3.0,3.0,2018,3.0,5.0
3984,2018-0148-KEN,2018,5.0,9.0,2018,5.0,10.0
3994,2018-0116-KEN,2018,3.0,14.0,2018,3.0,20.0
3995,2018-0132-KEN,2018,3.0,14.0,2018,5.0,31.0
4052,2016-0274-SDN,2016,6.0,,2016,9.0,8.0
4072,2016-0327-SSD,2016,7.0,1.0,2016,8.0,31.0
4084,2017-0573-SDN,2017,6.0,30.0,2017,8.0,14.0
4094,2017-0205-TZA,2017,5.0,8.0,2017,5.0,16.0
4120,2018-0135-RWA,2018,4.0,23.0,2018,4.0,24.0
4123,2018-0477-RWA,2018,4.0,1.0,2018,4.0,16.0
4124,2018-0387-SDN,2018,8.0,1.0,2018,9.0,4.0
4126,2018-0221-SDN,2018,6.0,18.0,2018,6.0,27.0
4127,2018-0292-SDN,2018,7.0,23.0,2018,7.0,30.0
4129,2018-0133-SOM,2018,4.0,1.0,2018,5.0,31.0
4140,2018-0125-TZA,2018,4.0,14.0,2018,4.0,18.0
4167,2019-0579-DJI,2019,11.0,21.0,2019,11.0,28.0
4176,2019-0203-TZA,2019,5.0,13.0,2019,5.0,17.0
4220,2020-0150-DJI,2020,4.0,20.0,2020,4.0,26.0
4250,2019-0500-KEN,2019,10.0,10.0,2019,12.0,13.0
4259,2019-0500-ETH,2019,10.0,1.0,2019,10.0,13.0
4297,2020-0164-KEN,2020,4.0,18.0,2020,6.0,1.0
4308,2020-0159-ETH,2020,4.0,20.0,2020,5.0,8.0
4310,2020-0564-ETH,2020,6.0,,2020,9.0,
4362,2021-0343-ETH,2021,5.0,1.0,2021,5.0,31.0
4373,2021-0227-KEN,2021,4.0,7.0,2021,5.0,30.0
4422,2019-0643-RWA,2019,11.0,,2019,12.0,
4423,2019-0654-RWA,2019,12.0,25.0,2019,12.0,25.0
4424,2019-0392-SDN,2019,7.0,,2019,9.0,6.0
4427,2019-0280-SDN,2019,6.0,8.0,2019,6.0,18.0
4431,2019-0500-SOM,2019,10.0,,2019,10.0,
4436,2019-0562-TZA,2019,11.0,20.0,2019,11.0,25.0
4439,2019-0496-TZA,2019,10.0,2.0,2019,10.0,16.0
4440,2019-0515-TZA,2019,10.0,15.0,2019,10.0,28.0
4464,2019-0285-SSD,2019,6.0,5.0,2019,6.0,7.0
4465,2019-0486-SSD,2019,10.0,1.0,2019,10.0,18.0
4470,2020-0188-RWA,2020,4.0,17.0,2020,5.0,10.0
4471,2020-0041-RWA,2020,2.0,2.0,2020,2.0,4.0
4472,2020-0171-RWA,2020,4.0,17.0,2020,4.0,25.0
4473,2020-0166-TZA,2020,4.0,22.0,2020,4.0,26.0
4480,2020-0305-SDN,2020,6.0,,2020,9.0,9.0
4481,2020-0098-RWA,2020,3.0,2.0,2020,3.0,10.0
4482,2020-0156-RWA,2020,5.0,1.0,2020,5.0,4.0
4487,2020-0320-SOM,2020,6.0,15.0,2020,7.0,20.0
4488,2020-0159-SOM,2020,4.0,20.0,2020,4.0,28.0
4496,2020-0037-TZA,2020,1.0,27.0,2020,2.0,3.0
4497,2020-0458-TZA,2020,10.0,13.0,2020,10.0,15.0
4499,2020-0194-TZA,2020,3.0,10.0,2020,3.0,17.0
4522,2020-0362-SSD,2020,7.0,,2020,12.0,
4524,2021-0282-RWA,2021,4.0,28.0,2021,5.0,2.0
4541,2021-0473-SDN,2021,7.0,20.0,2021,9.0,24.0
4544,2021-0239-SOM,2021,5.0,1.0,2021,5.0,31.0
4553,2021-0010-TZA,2021,1.0,12.0,2021,1.0,15.0
4571,2021-0481-SSD,2021,5.0,,2021,10.0,7.0
4573,2022-0055-RWA,2022,1.0,1.0,2022,1.0,27.0
4577,2022-0232-RWA,2022,4.0,23.0,2022,4.0,24.0
4580,2022-0332-SOM,2022,5.0,12.0,2022,5.0,30.0
4622,2022-0445-SDN,2022,7.0,10.0,2022,8.0,5.0
4631,2022-0258-TZA,2022,4.0,,2022,5.0,5.0
